category,pokemon_name,count,description
OVERLAPPING,ponyta,1.0,Has both stats and images
OVERLAPPING,poochyena,1.0,Has both stats and images
OVERLAPPING,popplio,1.0,Has both stats and images
OVERLAPPING,porygon,1.0,Has both stats and images
OVERLAPPING,porygon2,1.0,Has both stats and images
OVERLAPPING,primarina,1.0,Has both stats and images
OVERLAPPING,primeape,1.0,Has both stats and images
OVERLAPPING,prinplup,1.0,Has both stats and images
OVERLAPPING,probopass,1.0,Has both stats and images
OVERLAPPING,psyduck,1.0,Has both stats and images
OVERLAPPING,pumpkaboo,1.0,Has both stats and images
OVERLAPPING,pupitar,1.0,Has both stats and images
OVERLAPPING,purrloin,1.0,Has both stats and images
OVERLAPPING,purugly,1.0,Has both stats and images
OVERLAPPING,pyroar,1.0,Has both stats and images
OVERLAPPING,pyukumuku,1.0,Has both stats and images
OVERLAPPING,quagsire,1.0,Has both stats and images
OVERLAPPING,quilava,1.0,Has both stats and images
OVERLAPPING,quilladin,1.0,Has both stats and images
OVERLAPPING,qwilfish,1.0,Has both stats and images
OVERLAPPING,raichu,1.0,Has both stats and images
OVERLAPPING,raikou,1.0,Has both stats and images
OVERLAPPING,ralts,1.0,Has both stats and images
OVERLAPPING,rampardos,1.0,Has both stats and images
OVERLAPPING,rapidash,1.0,Has both stats and images
OVERLAPPING,raticate,1.0,Has both stats and images
OVERLAPPING,rattata,1.0,Has both stats and images
OVERLAPPING,rayquaza,1.0,Has both stats and images
OVERLAPPING,regice,1.0,Has both stats and images
OVERLAPPING,regigigas,1.0,Has both stats and images
